agent,phase,action,duration
Towing Group 3,MooredSubInstallation,Ballast to Operational Draft,3798.0
Towing Group 3,MooredSubInstallation,Ballast to Towing Draft,3798.0
Towing Group 3,MooredSubInstallation,Check Mooring Lines,3798.0
Towing Group 3,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",12660.0
Towing Group 3,MooredSubInstallation,Delay,138974.0
Towing Group 3,MooredSubInstallation,Delay: No Completed Assemblies Available,257518.37338095228
Towing Group 3,MooredSubInstallation,Position Substructure,1266.0
Towing Group 3,MooredSubInstallation,Tow Substructure,20554.76957142857
Towing Group 3,MooredSubInstallation,Transit,23980.5645
Turbine Assembly Line 1,MooredSubInstallation,Delay,152451.0
Turbine Assembly Line 1,MooredSubInstallation,Delay: No Substructures in Wet Storage,6471.5
Turbine Assembly Line 1,MooredSubInstallation,Electrical Completion,139464.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Blade,20338.5
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Nacelle,23244.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Tower Section,15496.0
Turbine Assembly Line 1,MooredSubInstallation,Mechanical Completion,46488.0
Turbine Assembly Line 1,MooredSubInstallation,Move Substructure,15496.0
Turbine Assembly Line 1,MooredSubInstallation,Prepare for Turbine Assembly,23244.0
