agent,phase,action,duration
Towing Group 2,MooredSubInstallation,Delay: No Completed Turbine Assemblies,231430.59516666667
Towing Group 2,MooredSubInstallation,Position Substructure,932.0
Towing Group 2,MooredSubInstallation,Tow Substructure,4537.282
Towing Group 2,MooredSubInstallation,Transit,5293.495666666667
Towing Group 3,MooredSubInstallation,Ballast to Operational Draft,2712.0
Towing Group 3,MooredSubInstallation,Ballast to Towing Draft,2712.0
Towing Group 3,MooredSubInstallation,Check Mooring Lines,2712.0
Towing Group 3,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9040.0
Towing Group 3,MooredSubInstallation,Delay,45009.0
Towing Group 3,MooredSubInstallation,Delay: No Completed Turbine Assemblies,229389.34435714287
Towing Group 3,MooredSubInstallation,Position Substructure,904.0
Towing Group 3,MooredSubInstallation,Tow Substructure,4470.013142857143
Towing Group 3,MooredSubInstallation,Transit,5215.015333333333
Turbine Assembly Line 1,MooredSubInstallation,Delay,97841.0
Turbine Assembly Line 1,MooredSubInstallation,Delay: No Substructures in Wet Storage,4803.0
Turbine Assembly Line 1,MooredSubInstallation,Electrical Completion,99792.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Blade,14553.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Nacelle,16632.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Tower Section,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Mechanical Completion,33264.0
Turbine Assembly Line 1,MooredSubInstallation,Move Substructure,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Prepare for Turbine Assembly,16632.0
