agent,phase,action,duration
Floating Substation Installation Vessel,FloatingSubstationInstallation,Perform Mooring Site Survey,1320.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Position Onsite,220.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Tow Substation to Site,4448.815333333333
Floating Substation Installation Vessel,FloatingSubstationInstallation,Transit,2669.2892
Mooring System Installation Vessel,MooringSystemInstallation,Delay,144997.0
Mooring System Installation Vessel,MooringSystemInstallation,Install Drag Embedment Anchor,141449.8155
Mooring System Installation Vessel,MooringSystemInstallation,Install Mooring Line,35717.815500000004
Mooring System Installation Vessel,MooringSystemInstallation,Load Mooring System,14685.0
Mooring System Installation Vessel,MooringSystemInstallation,Mobilize,9240.0
Mooring System Installation Vessel,MooringSystemInstallation,Perform Mooring Site Survey,35244.0
Mooring System Installation Vessel,MooringSystemInstallation,Position Onsite,17622.0
Mooring System Installation Vessel,MooringSystemInstallation,Transit,60770.1294
Onshore Construction,ExportCableInstallation,Onshore Construction,0.0
Substation Assembly Line 1,FloatingSubstationInstallation,Attach Topside,2640.0
Substation Assembly Line 1,FloatingSubstationInstallation,Substation Substructure Assembly,0.0
Substructure Assembly Line 1,MooredSubInstallation,Substructure Assembly,493416.0
Towing Group 1,MooredSubInstallation,Ballast to Operational Draft,5952.0
Towing Group 1,MooredSubInstallation,Ballast to Towing Draft,5952.0
Towing Group 1,MooredSubInstallation,Check Mooring Lines,5952.0
Towing Group 1,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",19840.0
Towing Group 1,MooredSubInstallation,Delay,212729.0
Towing Group 1,MooredSubInstallation,Delay: No Completed Turbine Assemblies,355309.0207380952
Towing Group 1,MooredSubInstallation,Position Substructure,1984.0
Towing Group 1,MooredSubInstallation,Tow Substructure,34008.56042857143
Towing Group 1,MooredSubInstallation,Transit,39676.65383333334
Towing Group 2,MooredSubInstallation,Ballast to Operational Draft,5928.0
Towing Group 2,MooredSubInstallation,Ballast to Towing Draft,5928.0
Towing Group 2,MooredSubInstallation,Check Mooring Lines,5928.0
Towing Group 2,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",19760.0
Towing Group 2,MooredSubInstallation,Delay,205017.0
Towing Group 2,MooredSubInstallation,Delay: No Completed Turbine Assemblies,365583.90366666665
Towing Group 2,MooredSubInstallation,Position Substructure,1976.0
Towing Group 2,MooredSubInstallation,Tow Substructure,33771.360714285714
Towing Group 2,MooredSubInstallation,Transit,39399.92083333334
Towing Group 3,MooredSubInstallation,Ballast to Operational Draft,5742.0
Towing Group 3,MooredSubInstallation,Ballast to Towing Draft,5742.0
Towing Group 3,MooredSubInstallation,Check Mooring Lines,5742.0
Towing Group 3,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",19140.0
Towing Group 3,MooredSubInstallation,Delay,205420.0
Towing Group 3,MooredSubInstallation,Delay: No Completed Turbine Assemblies,359034.77521428565
Towing Group 3,MooredSubInstallation,Position Substructure,1914.0
Towing Group 3,MooredSubInstallation,Tow Substructure,33019.15014285714
Towing Group 3,MooredSubInstallation,Transit,38522.34183333333
Turbine Assembly Line 1,MooredSubInstallation,Delay,203770.0
Turbine Assembly Line 1,MooredSubInstallation,Delay: No Substructures in Wet Storage,10357.5
Turbine Assembly Line 1,MooredSubInstallation,Electrical Completion,211464.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Blade,30838.5
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Nacelle,35244.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Tower Section,23496.0
Turbine Assembly Line 1,MooredSubInstallation,Mechanical Completion,70488.0
Turbine Assembly Line 1,MooredSubInstallation,Move Substructure,23496.0
Turbine Assembly Line 1,MooredSubInstallation,Prepare for Turbine Assembly,35244.0
