agent,phase,action,duration
Towing Group 2,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9300.0
Towing Group 2,MooredSubInstallation,Delay,102157.0
Towing Group 2,MooredSubInstallation,Delay: No Completed Assemblies Available,151949.21649999995
Towing Group 2,MooredSubInstallation,Position Substructure,930.0
Towing Group 2,MooredSubInstallation,Tow Substructure,18000.405285714285
Towing Group 2,MooredSubInstallation,Transit,21000.472833333333
Towing Group 3,MooredSubInstallation,Ballast to Operational Draft,2706.0
Towing Group 3,MooredSubInstallation,Ballast to Towing Draft,2706.0
Towing Group 3,MooredSubInstallation,Check Mooring Lines,2706.0
Towing Group 3,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9020.0
Towing Group 3,MooredSubInstallation,Delay,98574.0
Towing Group 3,MooredSubInstallation,Delay: No Completed Assemblies Available,153761.8100714285
Towing Group 3,MooredSubInstallation,Position Substructure,902.0
Towing Group 3,MooredSubInstallation,Tow Substructure,17738.90042857143
Towing Group 3,MooredSubInstallation,Transit,20695.383833333333
Turbine Assembly Line 1,MooredSubInstallation,Delay,77129.0
Turbine Assembly Line 1,MooredSubInstallation,Delay: No Substructures in Wet Storage,5069.5
Turbine Assembly Line 1,MooredSubInstallation,Electrical Completion,99792.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Blade,14553.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Nacelle,16632.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Tower Section,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Mechanical Completion,33264.0
Turbine Assembly Line 1,MooredSubInstallation,Move Substructure,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Prepare for Turbine Assembly,16632.0
